Przód,Tył
"Co to 1NF?","Pierwsza forma normalna - wszystkie wartości w tabeli są atomowe (niepodzielne). Brak powtarzających się grup."
"Co to 2NF?","Druga forma normalna - 1NF + eliminacja zależności częściowych od klucza głównego."
"Co to 3NF?","Trzecia forma normalna - 2NF + eliminacja zależności przechodnich (gdy atrybut niebędący kluczem determinuje inny atrybut niebędący kluczem)."
"Co to BCNF?","Forma normalna Boyce'a-Codda - każda zależność funkcyjna X→Y, gdzie X jest superkluczem."
"Co oznacza ACID?","Atomicity (atomowość), Consistency (spójność), Isolation (izolacja), Durability (trwałość)"
"Co to atomowość (Atomicity)?","Transakcja wykonuje się w całości albo wcale. Brak częściowych wykonań."
"Co to spójność (Consistency)?","Transakcja przeprowadza bazę ze stanu spójnego do stanu spójnego. Wszystkie ograniczenia integralności są zachowane."
"Co to izolacja (Isolation)?","Współbieżne transakcje nie interferują ze sobą. Każda transakcja działa jak gdyby była jedyna."
"Co to trwałość (Durability)?","Zatwierdzone zmiany są trwałe i przetrwają awarie systemu."
"Jakie są 4 poziomy izolacji?","1. READ UNCOMMITTED, 2. READ COMMITTED, 3. REPEATABLE READ, 4. SERIALIZABLE"
"Co to dirty read?","Czytanie niezatwierdzonych zmian z innej transakcji."
"Co to non-repeatable read?","Różne wyniki tego samego zapytania w ramach jednej transakcji."
"Co to phantom read?","Pojawienie się nowych wierszy spełniających warunek między kolejnymi czytaniami."
"Co to deadlock?","Sytuacja, gdy dwie lub więcej transakcji czeka na siebie wzajemnie, tworząc cykl oczekiwania."
"Co to MVCC?","Multiversion Concurrency Control - mechanizm kontroli współbieżności przez zarządzanie wieloma wersjami danych."
"Co to klucz główny (Primary Key)?","Wybrany klucz kandydujący. Unikalny + NOT NULL. Maksymalnie jeden na tabelę."
"Co to klucz obcy (Foreign Key)?","Atrybut lub zbiór atrybutów odwołujący się do klucza głównego innej tabeli."
"Co to klucz kandydujący?","Minimalny zbiór atrybutów jednoznacznie identyfikujący każdy wiersz w tabeli."
"Co to superklucz?","Zbiór atrybutów zawierający klucz kandydujący (może mieć nadmiarowe atrybuty)."
"Co to integralność referencyjna?","Ograniczenie zapewniające, że wartości kluczy obcych istnieją w tabeli referencyjnej lub są NULL."
"Jak modelować relację 1:1?","Jedna tabela z FK lub łączenie tabel przez wspólny klucz."
"Jak modelować relację 1:N?","FK w tabeli reprezentującej 'wiele'."
"Jak modelować relację M:N?","Tabela łącząca z dwoma FK do odpowiednich tabel."
"Co to zależność funkcyjna?","X → Y oznacza, że wartość X jednoznacznie determinuje wartość Y."
"Co to zależność przechodnia?","X → Y ∧ Y → Z ⇒ X → Z, gdzie Y nie jest podzbiorem X ani X podzbiorem Y."
